ID,Title,Date,Date Posted,Company,Location,Zip Code,Salary,Employment Type,Qualification,Industry,Job description,Link,Source,Company2,Seniority,Function,cleaned job,extracted salary,extracted education,extracted qualification
,Senior Software Engineer In Test- NetSuite 2022P,3 days ago,05/23/2022,Oracle,"Austin, TX",,,,,,"Preferred qualifications
B.S. or Masters degree in computer engineering or equivalent
5+ years experience in software development and testing
5+ years experience with Java (C# or similar)
3+ years SQL database experience,REST, XML technologies
Understanding of distributed systems, HTTP, Internet protocols, web browsers
Greatproblem-solving skillsand ability to understand functional requirements
Solid experience working with different Testing Tools and White box testing
Solid experience with testing methodologies and techniques
Experience coaching and mentoring other engineers
Excellent written and oral communication skills in English
Strength in organizational skills
Agile(Scrum, SCRUMBan, Kanban, ) experience
Previous experience building cloud applications or PaaS
Understanding of cloud-based distributed software applications
Valid work permit for USA
About us
The SuiteCloud Platform group is a diverse family of smart, innovative, caring people invested in our customers and the community. We constantly seek to improve ourselves and strongly believe in ""individual commitment to team effort"". The SuiteCloud Platform is a key enabler in meeting the needs of an increasingly global and varied customer base. It serves as a PaaS for developers to build, store, share and deploy solutions tailored to specific industries and verticals, on top off NetSuite ERP - the #1 Cloud ERP.
About the job
As part of the SuiteCloud Platformteam you will have the opportunity to shape the future of a next-generation product on the SuiteCloud Platform. Our mission is to provide a state of the art SDLC experience on the cloud, enabling partners and NetSuite's own internal solutions group to automate and streamline their development processes and practices. We are the team that allows users to create and distribute applications on the NetSuite Platform.
Oracle+NetSuiteis looking for aSoftware Engineer in Test who istalented, technically savvy, and a natural leaderto work with a growing and action oriented team of software engineers, test automation engineers, product managers, technical writers & UX designersto continue to advance this foundational component of the SuiteCloud Platform.In this role you willmentor and coach other engineers, contribute and upholdthe engineering culture of the team by fostering clean-code and good testing practices, maintaining an environment of collaboration and continuous self-improvement, and ensuring a customer-focused, Agile approach to product development.
You will be responsible for assessing, proposing and implementing changes that improveour testing strategy, automation framework, and team efficiency. You will participate in therisk analysisprocess and, using best practices, propose mitigation plans that will involve test automation, performance, and exploratory testingto ensure a high quality product is delivered to our customers.A senior engineer who is already leading a team or clearly heading in that direction would be an ideal candidate.
About you
You bring fresh and new ideas and your very own unique point of view. You thrive in an environment of collaboration, welcome a healthy debate and embrace diverse points of view. You eagerly seek and give help. Curious and ambitious, you see an opportunity in every challenge. You are comfortable making mistakes because you learn from them and bounce back quickly. You enjoy reasoning over complex abstractions and building tools and frameworks that facilitate clean, reusable code and an enjoyable developer experience.You take active ownership for the team's code quality and hold a high bar for yourself and the team when it comes to product quality. You are always looking around the corner to anticipate project bottlenecks and blockers and take action to head these off. You understand the need to empathize with customers and seek opportunities to interact with, listen to, and learn from them. You challenge assumptions, investigate unknowns, and present findings clearly and confidently.
You must have an intimate, working understanding of modern web applications from database to user interface.A high-level of proficiency in SQL, Object Oriented languages as well as experience with database driven web applications is required.You must be proficient in design patterns and test driven development.Excellent communication skills in technical and non-technical contexts are required.You must have experience in working towards deadlines in a rapid development cycle and the ability to prioritize competing demands.
You recognize the importance of leadership and the impact it has in the product and people's lives. Your commitment to engineering professionalism drives you to take responsibility for your career, your commitments, your mistakes, the quality of your workmanship, and the output of your team. When the pressure mounts, you hold even tighter to the disciplines you know are right.
What we offer
Agile environment:collaborative environment backed by a strong enterprise.
Continuous career development: we actively encourage and celebrate internal promotions.
High-impact learning culture: free access to online learning platform and regular in-house training sessions and tech talks.
Lunch & learns: share your interests and learn from your colleagues.
A vast variety of volunteer opportunities through NetSuite's SuitePro Bono program and Oracle Giving
Diverse special interests groups that provide opportunities for networking and exchange of ideas across the company.
Flexible PTO


Responsible for developing, applying and maintaining quality standards for company products with adherence to both internal and external standards. Develops and executes software test plans. Analyzes and writes test standards and procedures. Maintains documentation of test results. Analyzes test results and recommends corrective actions.

As a member of the technical/process QA division, you will develop quality standards, control methods and theories to be utilized during manufacturing, testing and inspection to access product quality. Develop standards and procedures to provide quality guidance methods.

Duties and tasks are varied and complex needing independent judgment. Fully competent in own area of expertise. May have project lead role and or supervise lower level personnel. BS or MS degree or equivalent experience relevant to functional area. 4 years of software engineering or related experience.

If you are a Colorado resident, Please
oracle-salary-inquiries_us@oracle.com?subject=CO%20compensation%20and%20benefits%20request%20for%20Job%20ID%20120351%20%2810830%29&body=I%20am%20a%20Colorado%20job%20seeker%20requesting%20compensation%20and%20benefits%20information%20for%20this%20job.
or Email us at oracle-salary-inquiries_us@oracle.com to receive compensation and benefits information for this role. Please include this Job ID: 120351 in the subject line of the email.
Diversity and Inclusion:

An Oracle career can span industries, roles, Countries and cultures, giving you the opportunity to flourish in new roles and innovate, while blending work life in. Oracle has thrived through 40+ years of change by innovating and operating with integrity while delivering for the top companies in almost every industry.

In order to nurture the talent that makes this happen, we are committed to an inclusive culture that celebrates and values diverse insights and perspectives, a workforce that inspires thought leadership and innovation.

Oracle offers a highly competitive suite of Employee Benefits designed on the principles of parity, consistency, and affordability. The overall package includes certain core elements such as Medical, Life Insurance, access to Retirement Planning, and much more. We also encourage our employees to engage in the culture of giving back to the communities where we live and do business.


At Oracle, we believe that innovation starts with diversity and inclusion and to create the future we need talent from various backgrounds, perspectives, and abilities. We ensure that individuals with disabilities are provided reasonable accommodation to successfully participate in the job application, interview process, and in potential roles. to perform crucial job functions.

That’s why we’re committed to creating a workforce where all individuals can do their best work. It’s when everyone’s voice is heard and valued that we’re inspired to go beyond what’s been done before.

Disclaimer:

Oracle is an Equal Employment Opportunity Employer*. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans’ status, or any other characteristic protected by law. Oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law.

* Which includes being a United States Affirmative Action Employer",https://www.monster.com/job-openings/senior-software-engineer-in-test-netsuite-2022p-austin-tx--7377c726-960e-45d2-a66b-2c477995d9ae?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.1&_ga=2.66797102.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,"preferred qualifications b.s. or masters degree in computer engineering or equivalent 5+ years experience in software development and testing 5+ years experience with java  3+ years sql database experience,rest, xml technologies understanding of distributed systems, http, internet protocols, web browsers greatproblem solving skillsand ability to understand functional requirements solid experience working with different testing tools and white box testing solid experience with testing methodologies and techniques experience coaching and mentoring other engineers excellent written and oral communication skills in english strength in organizational skills agile experience previous experience building cloud applications or paas understanding of cloud based distributed software applications valid work permit for usa about us the suitecloud platform group is a diverse family of smart, innovative, caring people invested in our customers and the community. we constantly seek to improve ourselves and strongly believe in individual commitment to team effort. the suitecloud platform is a key enabler in meeting the needs of an increasingly global and varied customer base. it serves as a paas for developers to build, store, share and deploy solutions tailored to specific industries and verticals, on top off netsuite erp   the #1 cloud erp. about the job as part of the suitecloud platformteam you will have the opportunity to shape the future of a next generation product on the suitecloud platform. our mission is to provide a state of the art sdlc experience on the cloud, enabling partners and netsuite own internal solutions group to automate and streamline their development processes and practices. we are the team that allows users to create and distribute applications on the netsuite platform. oracle+netsuiteis looking for asoftware engineer in test who istalented, technically savvy, and a natural leaderto work with a growing and action oriented team of software engineers, test automation engineers, product managers, technical writers & ux designersto continue to advance this foundational component of the suitecloud platform.in this role you willmentor and coach other engineers, contribute and upholdthe engineering culture of the team by fostering clean code and good testing practices, maintaining an environment of collaboration and continuous self improvement, and ensuring a customer focused, agile approach to product development. you will be responsible for assessing, proposing and implementing changes that improveour testing strategy, automation framework, and team efficiency. you will participate in therisk analysisprocess and, using best practices, propose mitigation plans that will involve test automation, performance, and exploratory testingto ensure a high quality product is delivered to our customers.a senior engineer who is already leading a team or clearly heading in that direction would be an ideal candidate. about you you bring fresh and new ideas and your very own unique point of view. you thrive in an environment of collaboration, welcome a healthy debate and embrace diverse points of view. you eagerly seek and give help. curious and ambitious, you see an opportunity in every challenge. you are comfortable making mistakes because you learn from them and bounce back quickly. you enjoy reasoning over complex abstractions and building tools and frameworks that facilitate clean, reusable code and an enjoyable developer experience.you take active ownership for the team code quality and hold a high bar for yourself and the team when it comes to product quality. you are always looking around the corner to anticipate project bottlenecks and blockers and take action to head these off. you understand the need to empathize with customers and seek opportunities to interact with, listen to, and learn from them. you challenge assumptions, investigate unknowns, and present findings clearly and confidently. you must have an intimate, working understanding of modern web applications from database to user interface.a high level of proficiency in sql, object oriented languages as well as experience with database driven web applications is required.you must be proficient in design patterns and test driven development.excellent communication skills in technical and non technical contexts are required.you must have experience in working towards deadlines in a rapid development cycle and the ability to prioritize competing demands. you recognize the importance of leadership and the impact it has in the product and people lives. your commitment to engineering professionalism drives you to take responsibility for your career, your commitments, your mistakes, the quality of your workmanship, and the output of your team. when the pressure mounts, you hold even tighter to the disciplines you know are right. what we offer agile environment:collaborative environment backed by a strong enterprise. continuous career development: we actively encourage and celebrate internal promotions. high impact learning culture: free access to online learning platform and regular in house training sessions and tech talks. lunch & learns: share your interests and learn from your colleagues. a vast variety of volunteer opportunities through netsuite suitepro bono program and oracle giving diverse special interests groups that provide opportunities for networking and exchange of ideas across the company. flexible pto   responsible for developing, applying and maintaining quality standards for company products with adherence to both internal and external standards. develops and executes software test plans. analyzes and writes test standards and procedures. maintains documentation of test results. analyzes test results and recommends corrective actions.  as a member of the technical/process qa division, you will develop quality standards, control methods and theories to be utilized during manufacturing, testing and inspection to access product quality. develop standards and procedures to provide quality guidance methods.  duties and tasks are varied and complex needing independent judgment. fully competent in own area of expertise. may have project lead role and or supervise lower level personnel. bs or ms degree or equivalent experience relevant to functional area. 4 years of software engineering or related experience.  if you are a colorado resident, please oracle salary inquiries_us@oracle.com?subject=co%20compensation%20and%20benefits%20request%20for%20job%20id%20120351%20%2810830%29&body=i%20am%20a%20colorado%20job%20seeker%20requesting%20compensation%20and%20benefits%20information%20for%20this%20job. or email us at oracle salary inquiries_us@oracle.com to receive compensation and benefits information for this role. please include this job id: 120351 in the subject line of the email. diversity and inclusion:  an oracle career can span industries, roles, countries and cultures, giving you the opportunity to flourish in new roles and innovate, while blending work life in. oracle has thrived through 40+ years of change by innovating and operating with integrity while delivering for the top companies in almost every industry.  in order to nurture the talent that makes this happen, we are committed to an inclusive culture that celebrates and values diverse insights and perspectives, a workforce that inspires thought leadership and innovation.  oracle offers a highly competitive suite of employee benefits designed on the principles of parity, consistency, and affordability. the overall package includes certain core elements such as medical, life insurance, access to retirement planning, and much more. we also encourage our employees to engage in the culture of giving back to the communities where we live and do business.   at oracle, we believe that innovation starts with diversity and inclusion and to create the future we need talent from various backgrounds, perspectives, and abilities. we ensure that individuals with disabilities are provided reasonable accommodation to successfully participate in the job application, interview process, and in potential roles. to perform crucial job functions.  that’s why we’re committed to creating a workforce where all individuals can do their best work. it’s when everyone’s voice is heard and valued that we’re inspired to go beyond what’s been done before.  disclaimer:  oracle is an equal employment opportunity employer*. all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans’ status, or any other characteristic protected by law. oracle will consider for employment qualified applicants with arrest and conviction records pursuant to applicable law.  * which includes being a united states affirmative action employer",[],[],['preferred qualifications b.']
,"Reliability Engineer (Austin - ES 1525, ES 1527)",2 days ago,05/24/2022,Yoh,"Austin, TX",,,,,,,https://www.monster.com/job-openings/reliability-engineer-austin-es-1525-es-1527-austin-tx--a6fd2cbc-dc4b-4bda-ab60-746b0532dbb3?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.2&_ga=2.66797102.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,nan,[],[],[]
,Sr Site Reliability Engineer-Remote,1 day ago,05/25/2022,Randstad USA,"Remote, US",,,,,,,https://www.monster.com/job-openings/sr-site-reliability-engineer-remote-austin-tx--2ceeef06-5f60-4f45-847e-ca41f86db13f?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.3&_ga=2.66797102.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,nan,[],[],[]
,Firmware Engineer (ES 1503),4 days ago,05/22/2022,Yoh,"Austin, TX",,,,,,,https://www.monster.com/job-openings/firmware-engineer-es-1503-austin-tx--70b69915-85ee-491b-b8ae-2afd467f01c7?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.4&_ga=2.66797102.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,nan,[],[],[]
,(Remote) Backend Software Developer,1 day ago,05/25/2022,"Nesco Resource, LLC","Remote, US",,,,,,,https://www.monster.com/job-openings/-remote-backend-software-developer-austin-tx--f95a53ce-7651-4b06-a909-13dd63a9c73e?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.5&_ga=2.66797102.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,nan,[],[],[]
,DevOps Engineer - ATX,8 days ago,05/18/2022,NESC Staffing,"Remote, US",,,,,,"DevOps Engineer - Austin, TX (Contract-to-Hire)

Pay Rate: $55 - $60 DOE

NO CORP TO CORP

Job Description:
Collaborate with software engineering and data engineering
Automate processes with a DevOps mindset, building infrastructure as code.
Containerization, orchestration, configuration management, and deployment automation. 
Share best practices and mentor other Engineers in the areas where you're an expert
Experience working with AWS and Azure, Docker, Chef, Jenkins, Kafka, ELK, Ruby, Rails, and Datadog
This position can be 100% remote. While it will be beneficial for the candidate to be in Austin or Texas (especially once  they get back into the office in the near or distant future), but in this role, client is perfectly fine with remote candidates. ",https://www.monster.com/job-openings/devops-engineer-atx-austin-tx--1a6b8e92-3d72-4beb-a367-0b7a2e41366d?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.6&_ga=2.66797102.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,"devops engineer   austin, tx   pay rate: $55   $60 doe  no corp to corp  job description: collaborate with software engineering and data engineering automate processes with a devops mindset, building infrastructure as code. containerization, orchestration, configuration management, and deployment automation.  share best practices and mentor other engineers in the areas where you're an expert experience working with aws and azure, docker, chef, jenkins, kafka, elk, ruby, rails, and datadog this position can be 100% remote. while it will be beneficial for the candidate to be in austin or texas , but in this role, client is perfectly fine with remote candidates. ","['$55', '$60']",[],[]
,Senior Cloud Platform Engineer,4 days ago,05/22/2022,Hypori,"Remote, US",,,,,,"Join our innovative team to develop disruptive solutions transforming secure mobility for Federal and Commercial customers. Our innovative solution puts the power and speed of the cloud on any mobile device to enable users access to critical data and apps through a separate, secure virtual workspace. From commercial IP to national security level intel, Hypori protects data from every type of threat with zero data at rest. You can learn more about Hypori at https://hypori.com/. At Hypori, we believe top talent deserves top benefits and a challenging yet rewarding work environment. We are committed to creating an inclusive workplace for our employees and customers that embrace our differences and perspectives making us a stronger, more successful company.
We are looking for a Senior Cloud Platform Engineer to join us in building a secure cloud-based platform for the Hypori solution. Our team is working on delivering the next generation Hypori platform and is responsible for crafting and implementing innovative solutions and platform at scale. We are hiring for an experienced platform engineer well versed in designing, automating and deploying a software-as-a-service (SaaS) product.
Responsibilities
You will be working on building the next generation platform. This will be used for product development as well as a service for customers.
You will be expected to take a hands-on role in design and implementation using Cloud Native principles.
You will be expected to work on design and building of CI/CD processes and tools for deploying the solution.
You will be partnering with members of the engineering team to innovate new ideas and provide technical recommendations.
You will participate in architecture, design and code reviews.
You will work with diverse sets of teams to innovate and incubate critical services on cloud platforms.
You will be expected to assist in troubleshooting production problems
Qualifications
Bachelor's degree in Computer Science, or related field, with at least 5 years of related work experience or an equivalent combination of education and experience.
2+ years of experience in programming/deployment in Azure
5+ years of software/automation development experience
3+ years of experience in programming in Python/Java
5+ years of experience in administering/configuring/tuning of Unix/Linux environments
Strong working knowledge in containerization and delivery of services via containers (Kubernetes, docker containers etc.)
Solid understanding of automation principles and technologies such as Terraform, Puppet, and Git
Experienced in API based automation/integration
Excellent oral and written communication skills including documentation
Hypori Inc. provides a great and generous benefits package to include medical, dental and vision, PTO, and life & disability packages. We also invest in our employees' futures by providing, technical training, tuition reimbursement, a 401k plan with employer matching contribution with vesting starting from DAY 1, and much, much more.
Hypori Inc. is an equal opportunity employer. We are committed to providing equal opportunity to all applicants and employees in full compliance with all applicable state and federal laws prohibiting discrimination on the basis of race, color, age, gender, religion, national origin, disability, sexual orientation, and gender identity protected veteran status and individuals with disabilities, or any other class protected by applicable state or federal law.
A Veteran Friendly Organization
#Hypori


PI179113585",https://www.monster.com/job-openings/senior-cloud-platform-engineer-austin-tx--38afbf80-93cc-47ed-8c8f-af0b6512c951?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.7&_ga=2.66797102.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,"join our innovative team to develop disruptive solutions transforming secure mobility for federal and commercial customers. our innovative solution puts the power and speed of the cloud on any mobile device to enable users access to critical data and apps through a separate, secure virtual workspace. from commercial ip to national security level intel, hypori protects data from every type of threat with zero data at rest. you can learn more about hypori at https://hypori.com/. at hypori, we believe top talent deserves top benefits and a challenging yet rewarding work environment. we are committed to creating an inclusive workplace for our employees and customers that embrace our differences and perspectives making us a stronger, more successful company. we are looking for a senior cloud platform engineer to join us in building a secure cloud based platform for the hypori solution. our team is working on delivering the next generation hypori platform and is responsible for crafting and implementing innovative solutions and platform at scale. we are hiring for an experienced platform engineer well versed in designing, automating and deploying a software as a service  product. responsibilities you will be working on building the next generation platform. this will be used for product development as well as a service for customers. you will be expected to take a hands on role in design and implementation using cloud native principles. you will be expected to work on design and building of ci/cd processes and tools for deploying the solution. you will be partnering with members of the engineering team to innovate new ideas and provide technical recommendations. you will participate in architecture, design and code reviews. you will work with diverse sets of teams to innovate and incubate critical services on cloud platforms. you will be expected to assist in troubleshooting production problems qualifications bachelor degree in computer science, or related field, with at least 5 years of related work experience or an equivalent combination of education and experience. 2+ years of experience in programming/deployment in azure 5+ years of software/automation development experience 3+ years of experience in programming in python/java 5+ years of experience in administering/configuring/tuning of unix/linux environments strong working knowledge in containerization and delivery of services via containers  solid understanding of automation principles and technologies such as terraform, puppet, and git experienced in api based automation/integration excellent oral and written communication skills including documentation hypori inc. provides a great and generous benefits package to include medical, dental and vision, pto, and life & disability packages. we also invest in our employees' futures by providing, technical training, tuition reimbursement, a 401k plan with employer matching contribution with vesting starting from day 1, and much, much more. hypori inc. is an equal opportunity employer. we are committed to providing equal opportunity to all applicants and employees in full compliance with all applicable state and federal laws prohibiting discrimination on the basis of race, color, age, gender, religion, national origin, disability, sexual orientation, and gender identity protected veteran status and individuals with disabilities, or any other class protected by applicable state or federal law. a veteran friendly organization #hypori   pi179113585",[],"[' you will be expected to assist in troubleshooting production problems qualifications bachelor degree in computer science, or related field, with at least 5 years of related work experience or an equivalent combination of education and experience.']","[' you will be expected to assist in troubleshooting production problems qualifications bachelor degree in computer science, or related field, with at least 5 years of related work experience or an equivalent combination of education and experience.']"
,Javascript Developer,8 days ago,05/18/2022,Advantage Technical,"Remote, US",,,,,,,https://www.monster.com/job-openings/javascript-developer-austin-tx--f23e13ea-156f-4289-be62-b7fce5936d55?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.9&_ga=2.66797102.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,nan,[],[],[]
,Senior Applications Engineer,10 days ago,05/16/2022,TRC Staffing,"Austin TX, TX",,,,,,"TRC Professional Solutions seeks a Sr Applications Engineer for a premier manufacturer of cutting-edge composite components and assemblies installed on the industry’s most advanced commercial and military aircraft.
This firm is in the process of setting up state-of-the-art Manufacturing systems that will utilize the latest technology.
This candidate will support Process Integrations, RPA, and BI reporting for all enterprise applications including ADP, Costpoint ERP, and TIP Technologies’ Shop Floor Execution.
After implementation, this role will be responsible for the day-to-day administration, support of the applications and will work with business units to develop and implement new IoT systems and enhancements. This would include programming RPA or other low-code applications and creating BI reports in either Cognos or similar reporting applications.
Responsibilities:
Design, develop, implement and support integration projects using industry standards and best practices
Work with business stakeholders to determine requirements, develop or identify application solutions, and coordinate with other IT team members to integrate solutions into the production environments. Including design, develop, test, deploy & support system interfaces and automation
Translate business requirements into technical requirements
Working with ERPs and Reporting Systems/BI
User maintenance, system & interface monitoring, issue analysis and resolution.
Support technical upgrades or patches through testing, troubleshooting and deployment.
Setting up and maintaining web service integrations
Identify opportunities to leverage applications to improve business processes, and support business improvement efforts.
Development of Application training documentation and videos.
Develop Automated Test Script routines.
Qualifications:
BA/BS (Computer Science, Supply Chain, Manufacturing Engineering, Quality Management) or equivalent combination of education and experience
Experience in core programming language such as .NET, Java, C#, or C++
Experience in low code platforms and/or Robotic Process Automation (RPA)
Experience with integration platforms such as Dell Boomi or MuleSoft
Experience with shop floor automation and shop floor robot controls
Please send resume to heather.moore@trcstaffing.com for immediate consideration",https://www.monster.com/job-openings/senior-applications-engineer-austin-tx--fd558920-251a-4998-a94e-d6aa7d1f34af?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.10&_ga=2.66797102.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,"trc professional solutions seeks a sr applications engineer for a premier manufacturer of cutting edge composite components and assemblies installed on the industry’s most advanced commercial and military aircraft. this firm is in the process of setting up state of the art manufacturing systems that will utilize the latest technology. this candidate will support process integrations, rpa, and bi reporting for all enterprise applications including adp, costpoint erp, and tip technologies’ shop floor execution. after implementation, this role will be responsible for the day to day administration, support of the applications and will work with business units to develop and implement new iot systems and enhancements. this would include programming rpa or other low code applications and creating bi reports in either cognos or similar reporting applications. responsibilities: design, develop, implement and support integration projects using industry standards and best practices work with business stakeholders to determine requirements, develop or identify application solutions, and coordinate with other it team members to integrate solutions into the production environments. including design, develop, test, deploy & support system interfaces and automation translate business requirements into technical requirements working with erps and reporting systems/bi user maintenance, system & interface monitoring, issue analysis and resolution. support technical upgrades or patches through testing, troubleshooting and deployment. setting up and maintaining web service integrations identify opportunities to leverage applications to improve business processes, and support business improvement efforts. development of application training documentation and videos. develop automated test script routines. qualifications: ba/bs  or equivalent combination of education and experience experience in core programming language such as .net, java, c#, or c++ experience in low code platforms and/or robotic process automation  experience with integration platforms such as dell boomi or mulesoft experience with shop floor automation and shop floor robot controls please send resume to heather.moore@trcstaffing.com for immediate consideration",[],[],[' qualifications: ba/bs  or equivalent combination of education and experience experience in core programming language such as .']
,Senior Software Engineer,2 days ago,05/24/2022,Fathom5,"Austin, TX",,,,,,"We are looking for an ambitious Software Engineer. She/he will play a key role in software design and lead our software development team. You will report directly to the Fathom5 Director of Software Engineering and assist with all functions of software coding and design. Your primary focus will be to understand and improve our DevOps practice, lead the development efforts of small teams, act as a mentor to our junior engineers, and engage with customers and users.
The Fathom5 Senior Software Engineer will:
Assist the Chief Engineer and Director of Software Engineering with all aspects of software architecture and design
Manage and improve the quality of the Fathom5 codebase
Mentor junior team members in improving their coding
Seek out and claim challenging tasks/issues for development
Lead small teams of engineers
Write detailed technical reports to communicate progress on customer objectives
Develop, manage, and ensure the enaction of development and integration tests
Attend and contribute to daily stand-up, company development meetings, and demo days
The Fathom5 Senior Software Engineer will:
Be intimately familiar with developing and maintaining software projects with a microservices architecture
Be accustomed to everyday use of Windows and UNIX CLI tools
Have familiarity with cloud computing platforms
Have the ability to resolve Git conflicts
CI/CD experience
Monitoring and logging experience with Prometheus or Grafana
Experience in the creation, use, and orchestration of Docker containers
Database engineering experience
Asymmetric/symmetric encryption experience


The Fathom5 Senior Software Engineer position requires:
Programming expertise – Mastery of one or more statically-typed programming languages (GOLANG, Rust, C, and C++ preferred) with the ability to address advanced programming At least 2 years of GOLANG experience is highly desirable.
Clear and effective communication – Written and oral communication skills sufficient to explain technical material to other team members.
Quick learning and problem-solving – The ability and desire to learn new technologies swiftly and enact decisive solutions in
Passion – A natural disposition and passion for development as proven by an extensive portfolio of effective
Leads with initiative – The desire to lead by example through effective management skills and proactively addressing diverse needs on various
Team-first mentality – The ability and desire to work in a team environment.
Physical capability – Fitness and medical clearance for lifting and carrying network and computer
Ability to travel – Occasional domestic and international travel in support of client projects and team
The Fathom5 Senior Software Engineer will have these credentials:
S. / B.A. from an accredited four-year university in Computer Science, Computer Engineering, or Electric Engineering with a CS focus
Master's degree preferred
8+ years experience in a professional business environment with leadership experience


PI177173510",https://www.monster.com/job-openings/senior-software-engineer-austin-tx--1aae59ab-107d-49f6-bc2a-53e85b1f5725?sid=17c56b55-bcb9-4291-8074-c9691afb26d0&jvo=m.ga.sg.12&_ga=2.66797102.1031486682.1653615742-1604680052.1653615742#skipNav,Monster,,,,"we are looking for an ambitious software engineer. she/he will play a key role in software design and lead our software development team. you will report directly to the fathom5 director of software engineering and assist with all functions of software coding and design. your primary focus will be to understand and improve our devops practice, lead the development efforts of small teams, act as a mentor to our junior engineers, and engage with customers and users. the fathom5 senior software engineer will: assist the chief engineer and director of software engineering with all aspects of software architecture and design manage and improve the quality of the fathom5 codebase mentor junior team members in improving their coding seek out and claim challenging tasks/issues for development lead small teams of engineers write detailed technical reports to communicate progress on customer objectives develop, manage, and ensure the enaction of development and integration tests attend and contribute to daily stand up, company development meetings, and demo days the fathom5 senior software engineer will: be intimately familiar with developing and maintaining software projects with a microservices architecture be accustomed to everyday use of windows and unix cli tools have familiarity with cloud computing platforms have the ability to resolve git conflicts ci/cd experience monitoring and logging experience with prometheus or grafana experience in the creation, use, and orchestration of docker containers database engineering experience asymmetric/symmetric encryption experience   the fathom5 senior software engineer position requires: programming expertise – mastery of one or more statically typed programming languages  with the ability to address advanced programming at least 2 years of golang experience is highly desirable. clear and effective communication – written and oral communication skills sufficient to explain technical material to other team members. quick learning and problem solving – the ability and desire to learn new technologies swiftly and enact decisive solutions in passion – a natural disposition and passion for development as proven by an extensive portfolio of effective leads with initiative – the desire to lead by example through effective management skills and proactively addressing diverse needs on various team first mentality – the ability and desire to work in a team environment. physical capability – fitness and medical clearance for lifting and carrying network and computer ability to travel – occasional domestic and international travel in support of client projects and team the fathom5 senior software engineer will have these credentials: s. / b.a. from an accredited four year university in computer science, computer engineering, or electric engineering with a cs focus master degree preferred 8+ years experience in a professional business environment with leadership experience   pi177173510",[],[],[]
