Title,Date,Date Posted,Company,Location,Zip Code,Salary,Employment Type,Qualification,Industry,Job description,Link,Source,Company2,Seniority,Function
Software Development Engineer,,6 days ago,Amazon,"Austin, TX",,,"$112,000/yr - $155,000/yr (LinkedIn est.) · Full-time · Mid-Senior level",,"10,001+ employees · Internet Publishing","Job Summary

DESCRIPTION

At Amazon, the Last Mile Technology organization is responsible for envisioning and developing cutting edge initiatives in delivering packages to our customers as fast and as cost effectively as possible. We utilize multiple delivery methods, business models and delivery station processes to achieve these goals. In 2019, we delivered 3.5 billion packages worldwide and continue to operate at increasingly large scale.

The Dispatch Automation team automates the dispatch process at Last Mile delivery stations, coordinating multiple planning and execution systems, such as route creation, package containerization and route to driver assignment. In addition to orchestrating the entire process, we own several individual planning systems, including route to driver assignment and route departure planning. The team's innovation focus is on continuous dispatch, managing planning orchestration in the recently launched Sub-Same-Day-Delivery and Amazon Robotics stations.

As an SDE on the Dispatch Automation team, you will utilize the latest AWS technologies to author automation tools and workflows, work with Senior and Principal Engineers to design fault-tolerant performant software, and partner with Research Scientists to develop new algorithms to optimize dispatch of parcels from Last Mile Delivery Stations.


Basic Qualifications
1+ years of experience contributing to the system design or architecture (architecture, design patterns, reliability and scaling) of new and current systems.
2+ years of non-internship professional software development experience
Programming experience with at least one software programming language.
Preferred Qualifications
Experience in optimization algorithms development (e.g, supply chain optimization, operations research, network design, machine learning, etc.) and/or the transportation domain
Proven experience establishing metrics for measurement of engineering and operational excellence.
Experience developing cloud software services and an understanding of design for scalability, performance and reliability.
Knowledge of software development methodologies and best practices.
Ability to tackle big, challenging problems and resolve ambiguity in the customer's favor.
Experience defining system architectures and designs, exploring technical feasibility tradeoffs, and making data-driven decisions.
Demonstrated ability to mentor other software developers to develop all aspects of their engineering skill sets.
By submitting your application here, you can apply once to be considered for multiple Software Engineer openings across various Amazon teams. If you are successful in passing through the initial application review and assessment, you will be asked to submit your career and personal preferences so that our dedicated recruiters can match you to the right role based on these preferences.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, visit https://www.amazon.jobs/en/disability/us

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.


Company - Amazon.com Services LLC

Job ID: A2073019",https://www.linkedin.com/jobs/view/3078492964/?alternateChannel=search&refId=5P%2BGFV7CCe53NfwOkOGrdQ%3D%3D&trackingId=bgfD%2FuAuD0p7yNY7zif6dw%3D%3D&trk=d_flagship3_search_srp_jobs,LinkedIn,,,
Software Engineer II - Azure Hardware Architecture,,2 weeks ago,Microsoft,"Austin, TX",,,"$86,000/yr - $141,000/yr (LinkedIn est.) · Full-time",,"10,001+ employees · Software Development","Join us to build the world’s fastest supercomputer! Our interdisciplinary team is solving cutting edge, mind bending technical challenges every day across software and hardware. This is your chance to impact the future of computing by contributing to the tools and technologies underpinning Azure's accelerated computing platform. Our team's innovative solutions are used to build and optimize the hardware accelerators that power some of Microsoft’s most important and strategic projects in the cloud.

Our software team works at the hardware/software interaction boundary and co-designs those interfaces with partner hardware teams. We are creating high-performance hardware abstraction components, customer facing APIs, computational kernel libraries and supporting simulator and performance analysis tools. If you are an experienced C/C++ developer and are excited about working on new and exotic hardware, embedded systems, operating system internals then this is the place for you.

You will work closely with customers of the accelerator, developers authoring firmware or kernels for it, and the hardware and other software teams building the accelerator. Key components for success in this role will be the ability to learn and adopt relevant new technologies, tools, methods and processes from Microsoft, industry, and the research community, while developing the team’s ability to consume these technologies.

You will be expected to collaborate across multiple workstreams and roles like architects, program management leads and engineering leads across the Azure Hardware Architecture Group. Excellent communication and presentation skills are important to be able to work with these partners and our customers.

#azureahajobs

Responsibilities
Analysis and evaluation of proposed software designs and architectures
Software development in C++, Python, and other languages for specialized accelerators and host systems.
Software design.
Co-design with hardware partner teams on HW/SW interfaces.
Design and code review of peer work.
Qualifications

Required Qualifications:
B.S. or advanced degree in computer engineering, computer science, or related fields
2+ years of software development experience with 1+ years' of experience with C/++
Preferred Qualifications
3+ years' experience with C/C++
2+ years’ experience with Python
Strong intellectual curiosity and passion about learning new technologies
Customer and partner engagement experience with a demonstrated track record of success
Strong background in computer science fundamentals with specialized experience in one of the following: computer arithmetic, distributed systems, high performance computing, embedded systems design, processor and accelerator architecture, operating system design, compiler design
Experience with Python internals and experience integrating C/C++ and Python
Exposure to Deep Neural Network training and inference and experience in one or more deep learning frameworks (PyTorch, Tensorflow, Keras, CNTK, etc)
Strong communication skills (both written and oral)
Great cross-team collaboration skills and the desire to collaborate in a team of researchers and developers
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.",https://www.linkedin.com/jobs/view/3073494534/?alternateChannel=search&refId=5P%2BGFV7CCe53NfwOkOGrdQ%3D%3D&trackingId=uImbavRSllJF5wH8VAqBAQ%3D%3D&trk=d_flagship3_search_srp_jobs,LinkedIn,,,
Hardware and Software Test Engineer,,1 week ago,Poly,"Austin, TX",,,Full-time · Entry level,,"5,001-10,000 employees · Telecommunications","Work is no longer a place. It’s what you do. And how you do it. More fluid, more flexible, powered by your imagination and by some amazing technology!
That’s where we come in. We are Poly. We outfit you with beautifully designed and engineered audio and video products so that YOU can do YOU. Wherever and whenever.
Join us as we pursue our disruptive vision to bring professional audio and video meeting technology and services to everyone. Be a part of our journey!

This Hardware and Software Test Engineer position is responsible for designing, developing, and implementing cost-effective test equipment for testing Poly’s latest technologies with our audio and video conferencing products. This position will be part of the team to design the test equipment’s hardware and software for NPI products. This includes review of product requirements and industry specifications. You will be part of the team determining the design approaches, designing the tester hardware and test fixtures, writing the software, analyzing equipment to establish testing parametrics and conducting experimental tests and evaluating the results. Plans the labor, schedules, and equipment required for testing and evaluating standard and special devices. Selects components and equipment based on analysis of specifications and reliability. Use production test processes and tools to verify that new or modified products are working properly and to troubleshoot malfunctioning products. May review vendor capability to support Test Systems Development.

Your day to day

This position will be part of the team to support the development of the video, acoustical and electrical test interfaces of new advanced products under a formal product development process.
Evaluates design trade-offs during the designs, and while developing, modifying, and implementing cost-effective methods of testing and troubleshooting audio and video systems and equipment.
Will be responsible or part of the team in designing and documenting the schematics, parts selection, parts list/BOM, specification, test procedures, debug, testing, design reviews, Design Validation Testing, etc. of various video and audio systems
Monitor production and repair processes, learn to troubleshoot RF, audio, digital, and analog product yield problems and test equipment malfunctions to the component level. Drive the failure analysis process and recommend next steps.
Participate in periodic design reviews of projects and pilot builds.
Participate in process improvement activities.
Hold and encourage frequent formal and informal communication within the team and the rest of the organization to ensure dissemination of important information
Actively participate in technical process improvement activities.
Ensure technical lessons are reviewed, learned, and disseminated.
The duties will include the design and debug of both digital and analog systems. This position will support hardware engineering designs and software develop in product design, analysis, debug or manufacturing or third party design support or a combination of those fields.
Help develop and specify device test conditions.
Support electrical and physical design, simulation, design reviews, verification, validation, and laboratory tests of new and existing Test Systems.
Work with Mechanical and Hardware engineers to incorporate testability into new product design as well as develop fixtures and custom PCBAs with the team to aid in automated test develop. Develop test software ranging from low level embedded device drivers to PC-based test execution systems.
Develop creative and novel solutions to technical problems related to this function.
Work directly with electrical and mechanical engineers in developing new products.
Participate in and advance all aspects of electrical design projects, including prototypes and mass production of audio and video systems.

What you bring to the team

Bachelor’s or master’s degree in electrical or software engineering.
Must have 1-3 years of hands-on laboratory experience (test, optimize, verify performance of designs and their components.
Experience developing LabView programs for testing.
Knowledge of test software platform (LabView, C++, Delphi, Python, etc).
Knowledge of electrical engineering principles and design.
Knowledge in NI’s LabView software.
Software/firmware development skills to interface with smart instruments and integrating multiple technologies to enable test automation.
SW/HW debugging and troubleshooting skills.
Knowledge of manufacturing files and documentation generation.
Language Level: 80% English Spoken and Written.
Preferred (not mandatory) capabilities:
Some understanding of DSP operations and principles with experience in dealing with voice and/ or audio signal processing techniques.
Hands on experience with Engineering Change (EC) processes, BOM structures, and new product introduction processes.
Some experience in wireless product development, Bluetooth, WiFi and DECT.
Some experience in video product development and test equipment methodologies.
Some experience in embedded systems programming, IP networking, digital and analog video, audio and telephony protocols.
Knowledge with FMEA, Lean, 6Sigma & 8D tools.

Our Culture

At Poly, leadership principles aren't just something we talk about, they're something we live and breathe. We believe in creating a work environment where people feel empowered, supported, and included –where trust and transparency are built into the way we work - where creativity, curiosity, and continuous improvement are encouraged and nurtured every day.

C3 – Customer. Customer. Customer: Customer obsession is everyone’s job. You enjoy solving customers’ problems - big or small. You work closely with customers, channel partners and their teams to deliver innovative solutions.
Raise the Bar: You take pride in your work and know details matter. You know that shavings make a pile. You seek every opportunity to continuously improve teams, products, and processes.
Communicate Courageously: You speak with candor but aren't a jerk. You constructively challenge your teammates to get to the best possible outcome or decision. Once a decision is made, you fully align and stay aligned.
Onward and Upward: You learn from the past but focus on the future. You rapidly adapt to changes in the marketplace. You help to create solutions that move the company forward with energy, momentum, and results.
Own It: You know your business, your customers, and your team – inside and out. You don't sacrifice long-term value for short-term results. You act with integrity, spend money like it’s your own, and put Poly first.
Take the Leap: Speed matters in business. You encourage and require those around you to think strategically and act decisively. Poly values calculated risk taking.
Ride Together: We are one team. We do what we say we’ll do, we treat each other with respect, we have each other’s back, and we hold each other accountable.
Leaders Lead: You know you are part of a larger global community and make decisions as good stewards of the earth, its resources and its people.

Our Commitment as an Equal Opportunity Employer

All qualified applicants will receive consideration for employment without regard to sex, gender identity or expression, race, age, religious creed, national origin, physical or mental disability, ancestry, color, marital status, sexual orientation, military or veteran status, status as a victim of domestic violence, sexual assault or stalking, medical condition, genetic information, accessibility needs, or any other protected class or category recognized by applicable equal employment opportunity or other similar laws.

No matter where you’re based, you’ll experience a company that believes that teamwork and collaboration drive maximum impact, seeks well-rounded talent to focused on providing the best customer experience, and understands that this is a marathon, not a sprint. And, top of mind to us is continuously and purposefully building an inclusive culture that empowers all of our team members, across the globe, to do their best work and be the best version of themselves.

COVID-19 Policy in the United States

Poly is a federal contractor. US applicants will be required to comply with Poly’s vaccination requirements for COVID-19 by date of hire.",https://www.linkedin.com/jobs/view/2973359502/?alternateChannel=search&refId=5P%2BGFV7CCe53NfwOkOGrdQ%3D%3D&trackingId=g%2Fah%2BivJD%2BjvryvEc3eVQA%3D%3D&trk=d_flagship3_search_srp_jobs,LinkedIn,,,
Staff Research Scientist/Software Engineer,,1 week ago,Onto Innovation,"Austin, TX",,,Full-time · Associate,,"1,001-5,000 employees · Semiconductor Manufacturing","Onto Innovation is a leader in process control, combining global scale with an expanded portfolio of leading-edge technologies that include: 3D metrology spanning the chip from nanometer-scale transistors to micron-level die-interconnects; macro defect inspection of wafers and packages; metal interconnect composition; factory analytics; and lithography for advanced semiconductor packaging. Our breadth of offerings across the entire semiconductor value chain helps our customers solve their most difficult yield, device performance, quality, and reliability issues. Onto Innovation strives to optimize customers’ critical path of progress by making them smarter, faster and more efficient.

Job Summary & Responsibilities

Develop and maintain efficient, robust software for new and existing metrology systems

Translate customer needs into software requirements

Maintain and improve the performance of existing software

Quickly analyze and resolve issues reported by internal and external customers

Recommend improvements to existing software programs as necessary

Understand metrology tool platforms and technologies from a systems perspective

Demonstrate effective communication skills within a diverse team

Qualifications

Ph. D. or equivalent in an engineering discipline or appropriate physical science

5+ years of experience coding professionally in C++

Good verbal and written communication skills

Ability to work well independently as well as in a team environment

Preferred Education And Experience

Experience with machine learning is a plus

Experience with geometry is a plus

Onto Innovation is committed to creating a diverse environment and is proud to be an equal-opportunity employer. We offer competitive salaries and a generous benefits package, including health/dental/vision/life/disability, PTO, 401K plan with employer match, and an Employee Stock Ownership Program (ESOP) along with health & wellness initiatives.

We provide a collaborative working environment along with resources, and state-of-the-art tools & equipment to promote success; and a welcoming, inclusive corporate culture where individuals are recognized for their contributions.",https://www.linkedin.com/jobs/view/3083870439/?alternateChannel=search&refId=5P%2BGFV7CCe53NfwOkOGrdQ%3D%3D&trackingId=u%2BcQkHSFliSf6CuVie1gvQ%3D%3D&trk=d_flagship3_search_srp_jobs,LinkedIn,,,
Software Engineer I,,2 days ago,SparkCognition,"Austin, Texas Metropolitan Area",,,Full-time · Entry level,,201-500 employees · Software Development,"Voted Best Places to Work in Austin, Best Paying Companies,
and Top Startup Companies by Forbes
SparkCognition looks to bring in the best talent in the world. To accommodate the hiring of our wildly talented teams, SparkCognition sponsors visa opportunities when appropriate.
Who are we and why this opportunity?
Drive change and create a footprint. SparkCognition invests in our employees and fosters
collaboration throughout the organization. Our employees have the ability to work globally
with award-winning artificial intelligence (AI) technology within multiple industries. What are the benefits and perks at SparkCognition?
You and your loved ones will be supported with a competitive and comprehensive benefits package.
Below are some highlights - we’d love to connect and share more!
Fast-paced evolving culture with the opportunity to drive new ideas and technology.
Dynamic Work Environment - Remote and In-Office Options
Stock Option Grants
Generous Time Off Programs
Medical Coverage, and Parental Leave Plans
401k with Employer Match
Monthly Technology Allowance
Large 2022 renovated office space centrally located near the Arboretum in Austin, TX- including fully stocked beverage and snack areas!
Join us and start
Developing software in support of our asset protection and optimization product, SparkPredict®
Contributing to many of the core services which power our products
Working with data scientists to help package models into SparkPredict
Developing, maintaining, and tuning micro-services related to sensor data processing and predictive analytics
Owning your work items
Helping code, integrate, document, and test new features
You'll have:
Software development experience, preferably using multiple programming languages
Experience programming in Python
Experience with Scala, functional programming languages, or Java and a willingness to transition to Scala development
Worked with microservices
Experience building REST APIs
A strong desire to build high quality code
Proficiency with SQL and relational databases (i.e. PostgreSQL) with the ability to optimize SQL and make schema changes
Experience writing unit tests and integration tests.
Proficiency with Agile development practices
The ability to work effectively with cross-functional teams containing engineers and data scientists
The desire to drive quality, security, and performance into the product and team practices
The mindset to take a work item and drive it to completion
Nice to have:
Experience developing efficient and scalable ETL pipelines for machine learning
Familiarity with NoSQL databases (MongoDB, Redis, Cassandra, etc.)
Experience with message driven systems (Pulsar, Kafka, etc)
Familiarity with Cloud computing frameworks (AWS, Azure, Google Cloud)
Explore SparkCognition:
https://www.sparkcognition.com/company/
BuiltIn Austin
SparkCognition is an equal opportunity employer, dedicated to diversity, equality, and inclusion, and provides equal employment opportunities to all employees and applicants for employment. SparkCognition prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state, or local laws.
#remote #ai #bethespark",https://www.linkedin.com/jobs/view/3083699180/?alternateChannel=search&refId=5P%2BGFV7CCe53NfwOkOGrdQ%3D%3D&trackingId=V7y1UvntzI87p10p7t8DrA%3D%3D&trk=d_flagship3_search_srp_jobs,LinkedIn,,,
Software Engineer - New Graduate,,14 hours ago,NI (National Instruments),"Austin, TX",,,Full-time · Associate,,"5,001-10,000 employees · Appliances, Electrical, and Electronics Manufacturing","Job Description

NI provides world-class software-connected automated test and measurement systems for the semiconductor, transportation, and aerospace & defense industries.

Core Job Responsibilities
Serve as part of an Agile product team, providing solutions to extend and enhance our applications and APIs.
Specify, design, implement, and test application software features for NI STS Maintenance Software (our semiconductor customers use our proprietary product, NI STS Maintenance Software, to validate the health of their systems)
Work and interact with a wide variety of NI team members in R&D software development in support and hardware organizations, as well as employees from other business groups
Perform research as required to specify and develop or enhance our products
Diagnose and debug problems with your product or problems arising when your product integrates with other NI products

Position Requirements
B.S. in computer science, and/or computer engineering, and/or electrical engineering
Strong understanding of computers and fluency in one or more programming languages (C/C++, C#, TypeScript/JavaScript, Python)
Understanding of good software design and architecture principles.
Strong communication skills.
Ability to:
Translate technical investments into business value to stakeholders.
Work effectively in an Agile group development environment
Problem-solve effectively - diagnose technical issues and propose reasonable solutions; enjoy problem solving
Take initiative, be a self-starter, and work independently
Persistently drive tasks and projects to successful completion

Preferred Qualifications
Experience with Perforce version control software.
Experience using NI hardware, drivers, and application software such as TestStand, and LabVIEW.
Proficiency in C#

About Us

Why NI?

There are many reasons to consider joining a company. Key among them are the people, the ideas, and the technology. At NI, we believe in the power and potential of connecting the three to create a path to success.

The people : We’re looking for curious and creative problem solvers who value diversity and fresh perspectives, are bold and kind, and willing to take chances.

The ideas : What did you want to be when you grew up? Did you want to program robots? Build flying cars? Leave the world better than you found it? At NI, we build on the big ideas of big dreamers to make their visions a reality.

The technology : With our tailored, software-connected approach, we support our customers through all phases of the product development cycle. From 5G and medical innovations to autonomous driving and the future of space travel, we help our customers Engineer Ambitiously every day.

We’ve long been globally recognized as a top employer. Our compensation and benefits are very competitive, as are our modern workspaces, career development and mobility opportunities, and a culture that fosters belonging and emphasizes community giving. We encourage our teammates to challenge the status quo and collaborate with one another to build innovative solutions.

No matter your career path, we’re here for you, for each other, and for the next generation of innovators who think bigger, aim higher, and go faster.

Are you up for the challenge of helping shape humanity for the next 100 years? If so, let’s get started, and let’s Engineer Ambitiously together.

NI is an equal opportunity and affirmative action employer, committed to providing a work environment free of discrimination on the basis of sex, race, religion, color, national origin, ancestry, physical disability, mental disability, medical condition, genetic information, marital status, gender, gender identity, gender expression, age, sexual orientation, military status, veteran status, or any other basis protected by federal, state or local law.

We are changing how we work by offering more flexibility. NI has decided to take a hybrid approach (working both on- and off-site) at an aggregate level.  We know that different roles have different requirements, so we’re embracing a full range of options.

Please be advised that if President Biden's Executive Order 14042, Ensuring Adequate COVID Safety Protocols for Federal Contractors, is ultimately upheld after the legal process concludes, NI will comply with the Executive Order. Accordingly, if the Executive Order is upheld in its current form, NI will require all U.S. employees to be fully vaccinated against COVID-19 and present acceptable proof of vaccination upon hire as a condition of employment. NI will consider requests for reasonable accommodation as required under applicable law. To qualify as being fully vaccinated against COVID-19, a two-week period must have passed after receiving the second dose in a 2-dose COVID-19 vaccine series or after receiving a single-dose in a single dose COVID-19 vaccine.",https://www.linkedin.com/jobs/view/3096628326/?alternateChannel=search&refId=5P%2BGFV7CCe53NfwOkOGrdQ%3D%3D&trackingId=NAy%2BbiFkrtPD2O0S5m9TpA%3D%3D&trk=d_flagship3_search_srp_jobs,LinkedIn,,,
Software Engineer - Simulation,,1 week ago,Apptronik,"Austin, TX",,,Full-time · Mid-Senior level,,11-50 employees · Industrial Machinery Manufacturing,,https://www.linkedin.com/jobs/view/3080702489/?alternateChannel=search&refId=5P%2BGFV7CCe53NfwOkOGrdQ%3D%3D&trackingId=xdBzI7RnT8I0ng3Oqahr9A%3D%3D&trk=d_flagship3_search_srp_jobs,LinkedIn,,,
Software Engineer-Machine Learning,,2 weeks ago,Quest Groups LLC,"Austin, Texas Metropolitan Area",,,Full-time · Mid-Senior level,,11-50 employees · Staffing and Recruiting,,https://www.linkedin.com/jobs/view/3066103349/?alternateChannel=search&refId=5P%2BGFV7CCe53NfwOkOGrdQ%3D%3D&trackingId=n3neDj4YMbYgo6cEiN%2Bhhg%3D%3D&trk=d_flagship3_search_srp_jobs,LinkedIn,,,
Software Engineer - New Graduate,,6 days ago,NI (National Instruments),"Austin, TX",,,"$63,000/yr - $99,000/yr (LinkedIn est.) · Full-time · Associate",,"5,001-10,000 employees · Appliances, Electrical, and Electronics Manufacturing","Job Description

As an NI Software Engineer, you will enjoy the unique opportunity to take ownership of your products and be involved in all aspects of the product development cycle. Software Engineers find that NIs relaxed and stimulating work environment, which includes working in small feature-focused teams, fosters the type of engineering innovation that leads to our many award-winning products. Our Software Engineers work on a diverse variety of projects such as compilers, application user interfaces, visualization graphics, development tools, and application frameworks for a broad range of industries such as aerospace, transportation, semiconductor production & validation, and manufacturing.

If you have excellent programming skills and a desire to work with the most talented people in the industry, then we invite you to apply

Core Job Responsibilities
Work and interact with a wide variety of NI staff in R&D software and hardware organizations, as well as employees from other business groups, including Applications Engineering, Manufacturing, and Product Management
Perform research as required to specify and develop or enhance your product, or to define new products
Specify, design, implement, and test software features and capabilities for new and existing products
Provide technical expertise and training to Applications Engineers, Technical Support Engineers, Technical Writers, customers, or other persons who use and/or support your product
Diagnose and debug problems with your product or problems arising when your product interacts or integrates with other NI products
Review and approve product specifications and customer user documentation for the product

NI has many types of software engineering roles at NI; we've listed a few below that hiring managers may consider you for when you apply to this position.

Application Software – Many NI customers want out-of-the-box solutions that allow them to spend more time with their data and less time writing code. Other customers want the flexibility and customization that programming languages provide without the complexity, syntax, and hassle. Application Software uses languages like C++, C#, Python, and JavaScript to provide custom user interfaces and customizable front ends to interact with our other software and hardware in ways that propel our users towards success. You may have the opportunity to design and build scalable, high-performance components leveraging modern microservice architectures and open-source technologies such as gRPC. You may also work with UX and UI designers to build applications using technologies like WPF or Electron.

Systems & Embedded/Driver Development - NI system and embedded-level software products are rich with features. You will have the opportunity to work with technologies such as automatic signal routing, multi-device synchronization, code generation, Application Programming Interfaces (APIs) that support several different programming languages (for example, LabVIEW, C, C++, C#), a variety of operating systems (for example, Microsoft Windows, Linux, Mac OS X, real-time), bus interfaces (for example, USB, PCIExpress, PCI, Ethernet), user-mode and kernel-mode driver components, and firmware that runs on embedded processors and FPGAs.

RF Communications Software - NI is driving the leading edge of disruptive and long-term change in the RF/Communications Design, Prototyping, and Test marketplace. We are looking for software engineers with a background or interests in the area of communications, signal processing, or RF hardware and software development. In this position, you will design and develop software that will enable RF and communication domain experts to design RF/microwave circuits and subsystems, signal processing algorithms, implement those algorithms in hardware, and perform measurements.

Cloud and DevOps – NI is looking for engineers passionate about developing tools and infrastructure to improve productivity. You will design and build state of the art continuous integration and continuous delivery pipelines running on cloud and on-premises infrastructure. Our teams provide integrations for numerous languages and build frameworks and develop extensive software testing automation tools spanning unit, integration, and system-level testing on physical hardware. You will get the opportunity to code in Python, including full-stack web development, and integrate tools such as Ansible/Chef, Kubernetes, Docker, Git, and other cloud deployment technologies.

Qualifications

Please Note: NI does NOT petition for H-1B status from student visas for this position.
B. S. in computer science, computer engineering, electrical engineering, electronic systems engineering technology, engineering physics, mechatronics, physics, or software engineering or B. A. in computer science
Strong understanding of computers and fluency in one or more programming languages (C/C++, C#, TypeScript/JavaScript, Python)
Understanding of good software design and architecture principles. Including:
Operating system components and design
Computer system architecture and organization
Data structures
Object oriented programming
Demonstrated ability to:
Work effectively in an Agile group development environment
Problem-solve effectively - diagnose technical issues and propose reasonable solutions; enjoy problem solving
Take initiative, be a self-starter, and work independently
Persistently drive tasks and projects to successful completion
Take ownership of goals, project schedules
Listen attentively and grasp fast-paced technical conversations
Quickly learn applicable technology, systems, and products
Passion for learning about and working with computer-industry technologies
Strong work ethic and drive to succeed",https://www.linkedin.com/jobs/view/3054158186/?alternateChannel=search&refId=5P%2BGFV7CCe53NfwOkOGrdQ%3D%3D&trackingId=Xti53Dv%2BOX1osPqzNA7kaw%3D%3D&trk=d_flagship3_search_srp_jobs,LinkedIn,,,
"Software Engineer (Circuit Simulation, Numerical Analysis, High Performance Computing)",,2 days ago,Cadence Design Systems,"Austin, TX",,,Full-time · Entry level,,"5,001-10,000 employees · Software Development","At Cadence, we hire and develop leaders and innovators who want to make an impact on the world of technology.

We are looking for a talented engineer for our circuit simulation suite Spectre-FX (Fastspice) Product line. You will work on several possible R&D projects (Fastspice event-driven algorithms, circuit partitioning, graph traversal, matrix solver, parallel computing, memory/cpu optimization) and be responsible for advancing and creating state-of-the-art circuit simulation technologies and solutions.
Our ideal candidate must be proficient in C/C++ Unix development, possess a thorough knowledge of numerical methods for transistor-level circuit simulation, and understand the custom IC design and verification practices.
Knowledge on general EDA algorithm or analog circuit design is a plus.
Candidates must have a proven ability to learn from and work with an engineering and cross-functional team to deliver innovative technologies in a production environment.
Experience in circuit simulation and EDA would be a plus.
Required education for this role is a MS/PhD in CS/EE or related degree.
We’re doing work that matters. Help us solve what others can’t.",https://www.linkedin.com/jobs/view/3084340994/?alternateChannel=search&refId=5P%2BGFV7CCe53NfwOkOGrdQ%3D%3D&trackingId=gvVb4IcrsDtU76Rd2GgiHw%3D%3D&trk=d_flagship3_search_srp_jobs,LinkedIn,,,
